	Edge	Cluster	Deviation	pval	zscore	fdr
r_H2A_RB	r_H2A_RB	4	-0.28675888032096974	0.003996003996003996	-3.40078261011341	0.05094905094905095
r_RB_CDK4	r_RB_CDK4	7	1.750819589932743	0.004995004995004995	3.387830445537149	0.06113886113886114
r_ERK12_EGFRY1173	r_ERK12_EGFRY1173	8	-0.9998687769040225	0.005994005994005994	-2.454256630081629	0.0655059226487798
r_SMAD15_FAK	r_SMAD15_FAK	3	-0.35441269306830747	0.005994005994005994	-2.6718481814797963	0.0655059226487798
r_H3_CREB	r_H3_CREB	9	0.5075217694982335	0.005994005994005994	3.2796523105505835	0.0655059226487798
r_H2A_RB	r_H2A_RB	9	-0.28142565273652403	0.008991008991008992	-2.9866882814500597	0.09487064659478454
r_RB_RPS6	r_RB_RPS6	4	-0.8416563126313336	0.00999000999000999	-2.7959871810222796	0.09552947052947053
r_STAT5_SRC	r_STAT5_SRC	3	-0.3335893278496679	0.00999000999000999	-2.426511881777592	0.09552947052947053
r_H3_CREB	r_H3_CREB	7	-0.2407417077712298	0.00999000999000999	-2.373353410266137	0.09552947052947053
r_STAT5_SRC	r_STAT5_SRC	6	-0.3602088016046884	0.01098901098901099	-2.1827489424148423	0.1018981018981019
r_STAT5_SRC	r_STAT5_SRC	9	0.4754226690285372	0.014985014985014986	2.597127681584787	0.13486513486513488
s_AKT1	s_AKT1	2	-0.31189819892431575	0.016983016983016984	-2.1384028694149353	0.1484800913372342
r_STAT1_SRC	r_STAT1_SRC	2	-0.23203607240672125	0.017982017982017984	-2.46903976393692	0.15284715284715286
r_ERK12_EGFRY1045	r_ERK12_EGFRY1045	5	-0.819687639868786	0.01898101898101898	-2.1982132638808114	0.15697815697815698
r_RPS6_RSK1T359	r_RPS6_RSK1T359	8	0.5179385524696878	0.02097902097902098	2.053788937802856	0.1689363268310637
r_LRP6_BMPR	r_LRP6_BMPR	2	0.30204016177442483	0.025974025974025976	2.175021241143084	0.1987012987012987
r_SMAD15_FAK	r_SMAD15_FAK	9	0.3878385006803565	0.025974025974025976	2.2151347745381083	0.1987012987012987
r_CJUN_ERK12	r_CJUN_ERK12	6	0.35595930131215414	0.028971028971028972	2.102205317793869	0.21622280158865526
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	7	-0.3522937764898967	0.03396603396603397	-2.1786737424219718	0.24746681889539032
r_RPS6_RB	r_RPS6_RB	4	-0.23650718174909374	0.03496503496503497	-1.9961897131112527	0.24882094649536513
r_H2A_CREB	r_H2A_CREB	3	0.5558346859964881	0.03796203796203796	2.059309520683741	0.2640087185541731
r_CYCLINB1_MKK36	r_CYCLINB1_MKK36	9	0.7459125449420219	0.03996003996003996	2.0502854945904043	0.27172827172827174
r_JNK_LRP6	r_JNK_LRP6	8	-0.36494838581000777	0.04295704295704296	-2.505382106673517	0.27967776903947117
r_RPS6_MTOR	r_RPS6_MTOR	3	0.5777545714367943	0.04295704295704296	1.9963654323036193	0.27967776903947117
r_CREB_P38	r_CREB_P38	9	-0.46470181465521326	0.04495504495504495	-1.990994436476773	0.28073966849477056
r_CJUN_MAPKAP2	r_CJUN_MAPKAP2	2	0.3927694649862773	0.04495504495504495	1.7322619404108628	0.28073966849477056
r_RB_RPS6	r_RB_RPS6	8	0.5055780611424261	0.04695304695304695	2.0766143567408224	0.2873526473526473
r_ERK12_RPS6	r_ERK12_RPS6	7	0.1792866404979973	0.04795204795204795	1.6198886919075177	0.28771228771228774
r_H2A_RB	r_H2A_RB	3	0.14832850238687395	0.04895104895104895	1.9750926827526283	0.2880580957504034
r_ERK12_EGFRY1173	r_ERK12_EGFRY1173	2	0.6423594265512378	0.04995004995004995	1.9609519899151326	0.2883908544285903
r_RPS6_RSK1T359	r_RPS6_RSK1T359	7	-0.36203987657064923	0.056943056943056944	-1.7635074205698054	0.3226773226773227
r_RB_CDC2	r_RB_CDC2	7	0.7517708472782804	0.061938061938061936	1.723523795042065	0.3378726536621274
r_H3_CREB	r_H3_CREB	8	0.2317213320660652	0.06293706293706294	1.814766425038208	0.3378726536621274
r_JNK_LRP6	r_JNK_LRP6	2	0.26990295395256164	0.06293706293706294	1.7130575482617574	0.3378726536621274
r_RPS6_MTOR	r_RPS6_MTOR	2	0.47546010392912125	0.06593406593406594	1.75726899901145	0.3402081789178563
r_H2A_FAK	r_H2A_FAK	5	0.5526348079239033	0.06593406593406594	1.6026128228144452	0.3402081789178563
r_H2A_RB	r_H2A_RB	6	0.14178474453407147	0.06693306693306693	1.8624328086147666	0.3402081789178563
s_ERK12	s_ERK12	1	0.41390260617272073	0.06793206793206794	1.684231231016538	0.3402081789178563
r_LRP6_BMPR	r_LRP6_BMPR	6	-0.30263647454351283	0.06893106893106893	-1.5683150141947029	0.3402081789178563
r_SMAD15_FAK	r_SMAD15_FAK	2	-0.19476241823191298	0.07092907092907093	-1.7270457445112546	0.34331822024129716
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	6	0.3925315067061589	0.07192807192807193	1.6349631060105765	0.34331822024129716
r_CREB_P38	r_CREB_P38	3	0.31444373218512683	0.07292707292707293	1.796318920666494	0.34331822024129716
r_RPS6_MTOR	r_RPS6_MTOR	9	-0.7367005526390952	0.07592407592407592	-1.6798933038018928	0.34675771989204823
r_CREB_LRP6	r_CREB_LRP6	6	0.25787298116997026	0.07592407592407592	1.540986967749386	0.34675771989204823
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	8	-0.33310930030187874	0.08391608391608392	-1.8083617967082741	0.3721495895408939
r_STAT1_SRC	r_STAT1_SRC	1	-0.21344722194191124	0.08391608391608392	-1.8371467438769322	0.3721495895408939
r_STAT1_SRC	r_STAT1_SRC	7	0.1593796692472791	0.08591408591408592	1.5824310912766149	0.3755672898530042
