category	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change
JAK-STAT_signalling	1	ip70S6K_EGF	0.9514398267293628	0.4624858175797062	0.3349015806358952	-0.07181567793011681
JAK-STAT_signalling	1	iRSK_EGF	0.9101694038670595	0.17547620361283617	0.7557817700263326	-0.1357930052096628
JAK-STAT_signalling	2	ip70S6K_EGF	0.8848014086889285	0.06758651914379873	1.1701399201132197	-0.17657441240367372
JAK-STAT_signalling	2	iRSK_EGF	0.9985918497516499	0.9806716778843328	0.008476367084147576	-0.0020329630750154327
JAK-STAT_signalling	3	ip70S6K_EGF	1.0095802873364166	0.8662930947851492	0.06233514734479974	0.013755646217924748
JAK-STAT_signalling	3	iRSK_EGF	0.9264941934252544	0.10836385080296493	0.9651155703354046	-0.11014616034323005
JAK-STAT_signalling	4	ip70S6K_EGF	0.846835541955185	0.01878290949908412	1.7262371340333174	-0.23984627390459673
JAK-STAT_signalling	4	iRSK_EGF	0.7986268445633558	0.01816366855110428	1.740796431663154	-0.32440652821627336
JAK-STAT_signalling	5	ip70S6K_EGF	1.0164492945263781	0.8200736269173126	0.08614715453279599	0.0235382482766804
JAK-STAT_signalling	5	iRSK_EGF	0.92507518398614	0.3394955808172868	0.46916587451796554	-0.11235747179238417
JAK-STAT_signalling	6	ip70S6K_EGF	1.0034547953989579	0.9316768488362572	0.03073469612594715	0.00497562624443271
JAK-STAT_signalling	6	iRSK_EGF	0.9875227536965983	0.7998278283093591	0.0970034895861617	-0.01811410492083274
JAK-STAT_signalling	7	ip70S6K_EGF	0.9643344316158434	0.4718370488300171	0.3262079611385957	-0.052394534364295
JAK-STAT_signalling	7	iRSK_EGF	0.9667396001855187	0.6322523128815428	0.19910957326097306	-0.04880075545668392
JAK-STAT_signalling	8	ip70S6K_EGF	1.0802734335103747	0.3496535133463935	0.45636210357622065	0.11139652650045574
JAK-STAT_signalling	8	iRSK_EGF	1.177046824759738	0.030134050442977657	1.5209424890765202	0.2351717141783524
JAK-STAT_signalling	9	ip70S6K_EGF	1.3217814605654905	6.924364759087024e-4	3.159620062592392	0.40248366563442745
JAK-STAT_signalling	9	iRSK_EGF	1.1825372203083415	0.13817147707387992	0.8595815997107525	0.24188559304390236
Notch_signalling	1	ip70S6K_EGF	1.0536263827111636	0.34242741428068213	0.46543147356781417	0.07536337611520831
Notch_signalling	1	iRSK_EGF	0.9211595679606979	0.2842927885472474	0.546234156608745	-0.11847700592630181
Notch_signalling	2	ip70S6K_EGF	0.968300381698251	0.4729323833829667	0.32520094725965715	-0.046473431724124485
Notch_signalling	2	iRSK_EGF	0.9526296570277049	0.29195167245033066	0.5346890325419302	-0.07001263186589317
Notch_signalling	3	ip70S6K_EGF	0.94325649404535306	0.15866212038864222	0.7995267460227807	-0.084277967283968
Notch_signalling	3	iRSK_EGF	0.9695240119443498	0.5126050996700009	0.29021707753623815	-0.0446514652669517
Notch_signalling	4	ip70S6K_EGF	0.9965159464823077	0.9595463037946399	0.017934063140813316	-0.005035203293304066
Notch_signalling	4	iRSK_EGF	1.0223154232571336	0.7760213265348211	0.11012634334345953	0.03184039134404659
Notch_signalling	5	ip70S6K_EGF	0.9172436127504646	0.1570950050571808	0.8038376234297291	-0.12462314162266219
Notch_signalling	5	iRSK_EGF	0.8699679302045839	0.043534872218377096	1.3611627259244705	-0.2009658752910219
Notch_signalling	6	ip70S6K_EGF	1.0436882335495008	0.3861765014569376	0.4132141562378007	0.06169082006468963
Notch_signalling	6	iRSK_EGF	1.0392179217122075	0.619947080930279	0.2076453805676138	0.05549821594306232
Notch_signalling	7	ip70S6K_EGF	0.9774224352425295	0.5724100247901307	0.2422927689148611	-0.032945875056545136
Notch_signalling	7	iRSK_EGF	0.9414382920442319	0.26928821791441454	0.56978264772734	-0.08706156051452735
Notch_signalling	8	ip70S6K_EGF	1.08205168614765	0.22824721540256027	0.6415945121186547	0.11376941373769213
Notch_signalling	8	iRSK_EGF	0.9531466699702414	0.4502564169790152	0.34654008897213195	-0.06922986211898763
Notch_signalling	9	ip70S6K_EGF	1.1032033245138262	0.3014882624495356	0.5207295911610621	0.14169870954645958
Notch_signalling	9	iRSK_EGF	0.9746978695259889	0.7432859312453808	0.1288440873508542	-0.03697300390770456
proliferation	1	ip70S6K_EGF	0.8982483794009429	0.12432572723446036	0.9054389917137591	-0.15481366753477066
proliferation	1	iRSK_EGF	0.915166414700085	0.22781633569566534	0.6424151378156462	-0.12789398664639606
proliferation	2	ip70S6K_EGF	0.9488771739467973	0.3398582697472755	0.46870215795618997	-0.07570674315845735
proliferation	2	iRSK_EGF	0.9533634165243368	0.37576872935446615	0.4250793637614695	-0.06890182904716137
proliferation	3	ip70S6K_EGF	0.916326070473869	0.14038048140733278	0.8526932725934901	-0.12606702871880585
proliferation	3	iRSK_EGF	0.9923186605641534	0.8863724216375088	0.052383764931726896	-0.011124611178629066
proliferation	4	ip70S6K_EGF	1.0343723510289795	0.6717285094788765	0.17280621899830523	0.048755617261488464
proliferation	4	iRSK_EGF	1.1184276983688162	0.13523113602605652	0.8689233036052658	0.1614719952649268
proliferation	5	ip70S6K_EGF	0.9339919247320327	0.5103303695222499	0.29214858623669204	-0.09851801839933466
proliferation	5	iRSK_EGF	1.1685420128156305	0.07859830449405354	1.1045868223679547	0.22470960454535038
proliferation	6	ip70S6K_EGF	0.8062715787039433	0.007302877354940569	2.136505992870778	-0.3106622272810767
proliferation	6	iRSK_EGF	1.0040946547216534	0.963362792269526	0.016210131349464908	0.005895276719715255
proliferation	7	ip70S6K_EGF	0.8456541662461821	0.056377932437925486	1.2488908551629758	-0.24186030701256286
proliferation	7	iRSK_EGF	0.9616700310152946	0.6284452677143878	0.20173253971974744	-0.05638613465394323
proliferation	8	ip70S6K_EGF	0.7795831521515753	0.0039321446505874045	2.4053705142894413	-0.35922518254966135
proliferation	8	iRSK_EGF	0.8745892004759707	0.06790744991489206	1.1680825780104287	-0.19332256091593794
proliferation	9	ip70S6K_EGF	0.8271217172352272	0.06633921534750205	1.1782296695706118	-0.2738284463487078
proliferation	9	iRSK_EGF	0.90377284765875	0.4446649653985746	0.3519670867270439	-0.14596788058313814
TGFb_signalling	1	ip70S6K_EGF	1.0244748930642933	0.45129422308061873	0.3455402257536575	0.03488462847265725
TGFb_signalling	1	iRSK_EGF	0.9797342826358182	0.5006302282892069	0.300482931030522	-0.02953757127548803
