sample_id	plate_number	treatment	cluster	BMP_signalling	TGFb_signalling	TNFa_signalling	Notch_signalling	Wnt_signalling	EGF_signalling	JAK-STAT_signalling	adhesion	proliferation	differentiation
plate_13_175	plate_13	EGF	2	3.270429778862491	5.36620504774978	5.801540801699426	2.620953461695218	4.753602462706238	4.906462214203947	4.6615534501295555	7.105280034467844	4.826879901502351	3.609670388047197
plate_3_175	plate_3	EGF	3	7.38594551256463	4.961246835576559	5.287627218911685	1.6231390018648333	2.3649267706903707	2.7728057688237224	3.5180740310441214	7.811474068760582	5.412603376481151	3.0439119303106126
plate_13_237	plate_13	EGF	6	8.452659587656848	6.774901064909454	7.394173453747165	2.6143967845388594	5.947357925654573	8.032701426145161	6.572670771755851	4.454987280511194	8.156683105900038	3.7604869909331367
plate_2_237	plate_2	EGF	2	1.0900890500382698	3.648634452074343	4.007727089508371	1.3048940050263176	2.2595174660587505	2.755837896548999	2.0762222448738212	8.088697851795786	5.8837442013085415	0.9090985615999186
plate_7_237	plate_7	EGF	9	9.113769158383722	10	9.756667116662006	4.391237007661761	5.618219481045884	9.004356996228996	9.478222647789531	2.5220585587657443	3.1298153042466197	3.2553284926927932
plate_8_237	plate_8	EGF	6	6.994370561832658	6.213436649256233	5.8606155397785	4.217831288521905	5.382333598539386	5.899307934348462	6.5598272347190605	3.9603658057705156	6.025167086895174	2.6469426270144147
plate_13_182	plate_13	EGF	8	4.069422548702951	2.751763960164908	2.670299017540127	2.0936161614882867	4.2003659334800645	3.1202881508837805	3.317544925140668	8.460563600139974	2.8040271915938813	3.6794119777015872
plate_2_182	plate_2	EGF	5	4.057017494596463	5.364584324871612	5.936998781208365	3.154228706469775	4.483010905406762	5.211372838833884	6.309315538833059	6.363468082946296	3.871767050104192	0.6948000309847506
plate_6_182	plate_6	EGF	7	7.033939312148086	6.265970839388383	6.715067724668122	6.056835378813663	3.1714595373736176	5.932778835946369	6.275144545000362	5.734074144706806	7.413017662526812	4.374698213213443
plate_7_182	plate_7	EGF	2	3.896631745661266	3.2207768367122824	3.83707878759394	3.464423004992872	6.988992596177065	2.9246159002980714	3.6958806674060933	5.7455040412530405	4.522270104923036	3.053161982826707
