antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
JAGGED_1	3	ip70S6K_EGF	0.9710824587002063	0.4491579611787899	0.34760089818627177	-0.04233428873114563	signalling_state_marker
JAGGED_1	4	ip70S6K_EGF	1.019623174671128	0.7740345358745782	0.1112396615326822	0.02803606937423609	signalling_state_marker
JAGGED_1	5	ip70S6K_EGF	0.900447782284004	0.08438410859228028	1.0737393330011156	-0.15128547941568818	signalling_state_marker
JAGGED_1	6	ip70S6K_EGF	0.9812083444750156	0.5969186351406861	0.2240848627024977	-0.02736859185045511	signalling_state_marker
JAGGED_1	7	ip70S6K_EGF	1.0114331848665137	0.7484771462059331	0.12582145574601916	0.016401018813102065	signalling_state_marker
JAGGED_1	8	ip70S6K_EGF	1.1099320014899239	0.2145194727807092	0.6685332790626434	0.15047129448688532	signalling_state_marker
JAGGED_1	9	ip70S6K_EGF	1.0055115476897678	0.8986461869629967	0.04641126410078852	0.007929650215216662	signalling_state_marker
JNK	1	ip70S6K_EGF	0.907454436135016	0.06477819695086233	1.1885711443960616	-0.14010288859695824	signalling_state_marker
JNK	2	ip70S6K_EGF	0.9904597484768949	0.7338594314377364	0.13438711991681987	-0.013829748599182899	signalling_state_marker
JNK	3	ip70S6K_EGF	0.987261664108844	0.680973245593884	0.16686995052362008	-0.018495587225715593	signalling_state_marker
JNK	4	ip70S6K_EGF	0.999674858098933	0.9927773914664917	0.0031481215910622124	-4.6915688366897494e-4	signalling_state_marker
JNK	5	ip70S6K_EGF	1.0185114160369808	0.5706269926845136	0.24364768852074548	0.026462150915128213	signalling_state_marker
JNK	6	ip70S6K_EGF	0.969353764142283	0.2236587871868215	0.6504140344384273	-0.04490482384728567	signalling_state_marker
JNK	7	ip70S6K_EGF	0.9529723585233243	0.11948211694490883	0.9226970913127391	-0.06949372629218915	signalling_state_marker
JNK	8	ip70S6K_EGF	0.9335518921656969	0.040217224850933424	1.3955879007583725	-0.09919787694646635	signalling_state_marker
JNK	9	ip70S6K_EGF	1.0746276231397767	0.14686079393855364	0.8330941282989736	0.10383682789112546	signalling_state_marker
MAPK_P38_P2	1	ip70S6K_EGF	0.9863008597500749	0.6694381836759749	0.1742895198138661	-0.01990030359665785	signalling_state_marker
MAPK_P38_P2	2	ip70S6K_EGF	0.9601725293783637	0.06196969036469881	1.2078206738235124	-0.05863443393410963	signalling_state_marker
MAPK_P38_P2	3	ip70S6K_EGF	1.0693111603812813	0.01195681497061196	1.9223844913261896	0.09668172604085962	signalling_state_marker
MAPK_P38_P2	4	ip70S6K_EGF	0.9936452073034121	0.8397059546884045	0.0758727670486089	-0.009197282370860378	signalling_state_marker
MAPK_P38_P2	5	ip70S6K_EGF	0.9535007560281807	0.14510614050926304	0.8383142089760307	-0.068694012439866	signalling_state_marker
MAPK_P38_P2	6	ip70S6K_EGF	1.0099107705571255	0.6902611779373472	0.16098655176265467	0.01422783103499176	signalling_state_marker
MAPK_P38_P2	7	ip70S6K_EGF	0.9668309457049084	0.142648942033686	0.8457314449717562	-0.048664444187142775	signalling_state_marker
MAPK_P38_P2	8	ip70S6K_EGF	0.9705648531880253	0.3156779120563903	0.500755804574737	-0.04310347777869029	signalling_state_marker
MAPK_P38_P2	9	ip70S6K_EGF	1.0365105691287124	0.19782625683604674	0.7037160664182172	0.05173482744765456	signalling_state_marker
NOTCH_1	1	ip70S6K_EGF	0.9334810004884061	0.3323744675316991	0.47837234540533363	-0.09930743588537877	signalling_state_marker
NOTCH_1	2	ip70S6K_EGF	0.8850717662935725	0.07320898504951043	1.135435614051535	-0.17613365361481398	signalling_state_marker
NOTCH_1	3	ip70S6K_EGF	0.8523829732438557	0.024400222036608226	1.6126062216598367	-0.23042631999996174	signalling_state_marker
NOTCH_1	4	ip70S6K_EGF	0.9481929804295387	0.5743874552843711	0.24079505372443985	-0.07674738220375382	signalling_state_marker
NOTCH_1	5	ip70S6K_EGF	0.9254918575638951	0.6081392819882673	0.21599694297813987	-0.1117077975023333	signalling_state_marker
NOTCH_1	6	ip70S6K_EGF	0.9743201091813157	0.7959169690581648	0.09913223598180862	-0.03753225270754424	signalling_state_marker
NOTCH_1	7	ip70S6K_EGF	0.8595636458961665	0.13167627149563574	0.880492479305228	-0.21832362770380614	signalling_state_marker
NOTCH_1	8	ip70S6K_EGF	0.9269141153290874	0.31456217317328894	0.5022935034858416	-0.10949242499983577	signalling_state_marker
NOTCH_1	9	ip70S6K_EGF	1.0485869664938028	0.5508055886863449	0.25900166187312534	0.06844651897032485	signalling_state_marker
NOTCH_3	1	ip70S6K_EGF	1.0535920823422973	0.39813216832654497	0.39997273082509754	0.07531640901342068	signalling_state_marker
NOTCH_3	2	ip70S6K_EGF	0.9389611208511917	0.2873834341997478	0.5415382697542992	-0.09086267280855356	signalling_state_marker
NOTCH_3	3	ip70S6K_EGF	1.0263859384631149	0.5919184975120655	0.2277380880702212	0.03757331068394522	signalling_state_marker
NOTCH_3	4	ip70S6K_EGF	0.9797194770111878	0.8191802227975604	0.08662054127250282	-0.029559373271199132	signalling_state_marker
NOTCH_3	5	ip70S6K_EGF	1.014788286961132	0.7676434653917639	0.11484044268413297	0.021178772523347204	signalling_state_marker
NOTCH_3	6	ip70S6K_EGF	0.9975938347036835	0.9589083922952464	0.018222880442472045	-0.0034755457882502793	signalling_state_marker
NOTCH_3	7	ip70S6K_EGF	1.0630936125705177	0.20213495184655553	0.694358584645729	0.08826864150199103	signalling_state_marker
NOTCH_3	8	ip70S6K_EGF	1.078449263467336	0.3583102310098294	0.4457407910309948	0.1089583053200137	signalling_state_marker
NOTCH_3	9	ip70S6K_EGF	0.9219869913534582	0.6082093686572234	0.21594689441089696	-0.11718169959310992	signalling_state_marker
P63	1	ip70S6K_EGF	0.9673772583308878	0.451165781868184	0.3456638463238326	-0.04784947242185908	signalling_state_marker
P63	2	ip70S6K_EGF	0.9848682838033096	0.7285809252938849	0.13752220304750595	-0.021997303323682483	signalling_state_marker
P63	3	ip70S6K_EGF	1.0920112106211657	0.02757314361158603	1.5595137171972402	0.12698766708610046	signalling_state_marker
P63	4	ip70S6K_EGF	1.0569765968959968	0.4434602242173863	0.35314532775465773	0.07994343356461418	signalling_state_marker
P63	5	ip70S6K_EGF	0.9593007848958607	0.49049530400424834	0.30936514619393024	-0.05994485749555755	signalling_state_marker
