"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"398","plate_9_194","plate_9","iRSK_EGF",1,2,7,3,3
"399","plate_10_227","plate_10","iRSK_EGF",7,1,6,8,8
"400","plate_13_227","plate_13","EGF",3,1,6,1,1
"401","plate_4_227","plate_4","ip70S6K_EGF",6,1,5,1,1
"402","plate_8_227","plate_8","ip70S6K_EGF",1,4,1,3,3
"403","plate_9_227","plate_9","EGF",8,2,7,7,5
"404","plate_10_200","plate_10","iRSK_EGF",1,4,1,3,3
"405","plate_12_200","plate_12","EGF",4,6,4,6,7
"406","plate_2_200","plate_2","iRSK_EGF",8,3,7,7,5
"407","plate_4_200","plate_4","EGF",1,2,1,4,4
"408","plate_6_200","plate_6","iRSK_EGF",3,1,6,1,1
"409","plate_7_200","plate_7","EGF",4,6,4,6,7
"410","plate_9_200","plate_9","ip70S6K_EGF",5,5,5,5,6
"411","plate_10_163","plate_10","iRSK_EGF",6,1,5,1,1
"412","plate_11_163","plate_11","EGF",5,5,5,5,6
"413","plate_12_163","plate_12","EGF",6,1,6,1,1
"414","plate_4_163","plate_4","ip70S6K_EGF",5,5,5,5,6
"415","plate_6_163","plate_6","EGF",8,3,7,7,5
"416","plate_9_163","plate_9","EGF",1,4,1,3,3
"417","plate_10_217","plate_10","EGF",7,8,8,8,8
"418","plate_11_217","plate_11","EGF",3,7,3,4,4
"419","plate_12_217","plate_12","ip70S6K_EGF",6,1,6,1,1
"420","plate_2_217","plate_2","iRSK_EGF",1,2,1,3,3
"421","plate_3_217","plate_3","ip70S6K_EGF",6,1,6,1,1
"422","plate_7_217","plate_7","ip70S6K_EGF",8,3,7,7,5
"423","plate_10_195","plate_10","EGF",6,1,6,1,1
"424","plate_12_195","plate_12","iRSK_EGF",7,8,8,8,8
"425","plate_13_195","plate_13","iRSK_EGF",1,4,1,3,3
"426","plate_3_195","plate_3","ip70S6K_EGF",4,6,4,6,7
"427","plate_7_195","plate_7","ip70S6K_EGF",2,2,2,2,2
"428","plate_2_160","plate_2","iRSK_EGF",8,3,7,7,5
"429","plate_6_160","plate_6","ip70S6K_EGF",5,5,5,5,6
"430","plate_12_161","plate_12","EGF",8,3,7,7,5
"431","plate_6_161","plate_6","ip70S6K_EGF",2,3,2,2,2
"432","plate_9_161","plate_9","iRSK_EGF",1,4,1,3,3
"433","plate_10_226","plate_10","iRSK_EGF",9,9,9,9,9
"434","plate_12_226","plate_12","iRSK_EGF",4,4,1,3,3
"435","plate_3_226","plate_3","iRSK_EGF",1,2,1,4,4
